id,city,country,lat,lng,date,temp,max temp,humidity,cloudiness,wind speed
1637510,Loa Janan,ID,-0.58,117.09,1619470803,72.86,72.86,99,83,0.69
1788268,Shishou,CN,29.72,112.42,1619470803,58.59,58.59,90,100,2.08
3380290,Sinnamary,GF,5.38,-52.95,1619470804,77.29,77.29,89,100,10.71
2347468,Bauchi,NG,10.5,10.0,1619470804,86.81,86.81,31,68,3.94
1007311,Durban,ZA,-29.86,31.03,1619470677,65.53,69.01,88,20,3.44
4151316,Clearwater,US,27.97,-82.8,1619470805,81.93,87.01,54,40,9.22
3533445,Acatlán,MX,20.15,-98.45,1619470805,73.74,73.74,52,82,9.75
1224061,Wattegama,LK,6.8,81.48,1619470806,73.74,73.74,95,27,2.64
5110092,Brewster,US,41.4,-73.62,1619470798,57.04,60.01,24,1,10.36
5949568,Estevan,CA,49.13,-102.98,1619470808,51.04,53.6,53,90,3.44
1855540,Naze,JP,28.37,129.48,1619470808,62.55,62.55,66,3,11.03
556268,Ostrovnoy,RU,68.05,39.51,1619470808,30.06,30.06,74,100,17.25
1259385,Port Blair,IN,11.67,92.75,1619470809,81.05,81.05,75,76,4.81
3421719,Narsaq,GL,60.92,-46.05,1619470809,37.4,37.4,87,75,10.36
2014743,Tygda,RU,53.12,126.33,1619470809,49.23,49.23,43,97,13.22
3117813,Lugo,ES,43.0,-7.5,1619470810,53.01,53.01,100,90,4.0
2022394,Kholbon,RU,51.88,116.25,1619470810,34.47,34.47,83,100,14.97
2093685,Kokopo,PG,-4.35,152.26,1619470810,78.6,78.6,79,15,3.42
4173838,Spring Hill,US,28.48,-82.53,1619470735,86.38,88.0,37,20,12.66
5703673,Elko,US,41.0,-115.5,1619470811,41.18,44.6,49,75,13.8
751816,Artvin Province,TR,41.17,41.83,1619470811,50.0,50.0,93,75,9.22
1738050,Marabu,MY,4.41,114.01,1619470811,77.0,77.0,94,20,3.44
2146219,Hervey Bay,AU,-25.3,152.85,1619470812,64.24,66.0,88,14,6.91
4470244,Havelock,US,34.88,-76.9,1619470678,69.39,73.4,46,1,6.91
448149,Sinjār,IQ,36.32,41.88,1619470812,72.21,72.21,31,51,7.29
2018735,Nyurba,RU,63.28,118.33,1619470813,14.92,14.92,87,97,8.95
114259,Sīrjān,IR,29.45,55.68,1619470813,66.76,66.76,34,92,5.53
3346015,Sumbe,AO,-11.21,13.84,1619470813,79.54,79.54,87,6,5.5
6100069,Peace River,CA,56.25,-117.29,1619470814,35.6,35.6,60,90,12.66
2181625,Te Anau,NZ,-45.42,167.72,1619470814,37.63,37.63,90,75,1.05
1514125,Dustlik,UZ,40.52,68.04,1619470815,65.61,65.61,45,0,3.58
2853574,Pirmasens,DE,49.2,7.61,1619470815,43.56,46.4,56,1,6.4
1797551,Qinzhou,CN,21.95,108.62,1619470815,68.16,68.16,94,100,7.4
2299233,Kpandu,GH,7.0,0.29,1619470815,79.72,79.72,84,95,10.07
2109701,Auki,SB,-8.77,160.7,1619470816,81.0,81.0,83,81,0.78
2629833,Husavik,IS,66.04,-17.34,1619470634,37.4,37.4,75,0,6.91
5500539,Boulder City,US,35.98,-114.83,1619470771,65.05,66.0,27,1,11.5
2260535,Brazzaville,CG,-4.27,15.28,1619470817,78.53,78.53,78,99,1.14
484396,Tarasovskiy,RU,48.73,40.36,1619470817,43.2,43.2,90,91,9.84
3996426,Matamoros,MX,25.53,-103.25,1619470709,95.0,95.0,6,75,5.75
